Model,Parameters,BLEU,Sentence_BLEU,Perplexity,Mean_Latency_ms,Median_Latency_ms,P95_Latency_ms,Training_Time_min
Vanilla RNN,7486902,1.0310293140082893,1.5725439058126234,41.180956416207806,3.3851454400610237,3.3365004996994685,3.5545933006687847,9.247520791833328
GRU Seq2Seq,8013238,13.326270812231883,13.053596923395563,12.116952660084348,5.4715985800339695,5.095105500004138,8.284654349972696,9.50732734078333
Bahdanau Attention,13546166,24.56437756740007,21.697059497196697,6.7117449088341035,11.135325120012567,10.214078999524645,19.52342095005406,15.207460087583332
Luong Attention,13480374,20.370371105560185,18.46690335089637,8.22416394113056,9.615853979958047,8.92098199983593,15.989355849706044,14.309619250616667
